1164677|09:00:00|278.000000|278.000000|258.000000|258.000000|V500
1164678|09:03:00|256.000000|256.000000|256.000000|256.000000|V5500
1164679|09:04:00|254.000000|254.000000|254.000000|254.000000|V8100
1164680|09:05:00|258.000000|258.000000|258.000000|258.000000|V100
1164681|09:08:00|258.000000|258.000000|252.000000|252.000000|V2500
1164682|09:11:00|258.000000|258.000000|258.000000|258.000000|V100
1164683|09:15:00|258.000000|258.000000|258.000000|258.000000|V100
1164684|09:21:00|258.000000|258.000000|258.000000|258.000000|V2000
1164685|09:23:00|258.000000|258.000000|258.000000|258.000000|V100
1164686|09:27:00|258.000000|258.000000|258.000000|258.000000|V100
1164687|09:37:00|256.000000|256.000000|256.000000|256.000000|V1000
1164688|09:38:00|258.000000|258.000000|258.000000|258.000000|V100
1164689|09:52:00|258.000000|258.000000|258.000000|258.000000|V100
1164690|10:09:00|258.000000|258.000000|258.000000|258.000000|V1200
1164691|10:10:00|256.000000|256.000000|256.000000|256.000000|V800
1164692|10:11:00|258.000000|258.000000|258.000000|258.000000|V100
1164693|10:17:00|258.000000|258.000000|258.000000|258.000000|V1100
1164694|10:24:00|258.000000|258.000000|258.000000|258.000000|V20900
1164695|10:25:00|260.000000|262.000000|260.000000|262.000000|V1000
1164696|11:06:00|260.000000|262.000000|260.000000|262.000000|V1000
1164697|11:23:00|260.000000|260.000000|260.000000|260.000000|V100
1164698|11:24:00|258.000000|258.000000|258.000000|258.000000|V400
1164699|11:26:00|256.000000|256.000000|256.000000|256.000000|V500
1164700|11:50:00|256.000000|256.000000|256.000000|256.000000|V700
1164701|11:51:00|256.000000|256.000000|256.000000|256.000000|V3000
1164702|11:54:00|258.000000|258.000000|258.000000|258.000000|V100
1164703|13:30:00|256.000000|258.000000|256.000000|258.000000|V11500
1164704|13:49:00|258.000000|258.000000|258.000000|258.000000|V200
1164705|14:15:00|256.000000|256.000000|252.000000|252.000000|V50000
1164706|14:17:00|254.000000|254.000000|254.000000|254.000000|V2700
1164707|14:18:00|254.000000|254.000000|254.000000|254.000000|V1400
1164708|14:19:00|254.000000|254.000000|254.000000|254.000000|V2000
1164709|14:20:00|254.000000|258.000000|254.000000|258.000000|V15100
1164710|14:30:00|254.000000|254.000000|254.000000|254.000000|V2000
1164711|14:32:00|254.000000|254.000000|252.000000|252.000000|V400
1164712|14:33:00|252.000000|252.000000|252.000000|252.000000|V34600
1164713|14:34:00|258.000000|258.000000|258.000000|258.000000|V100
1164714|14:47:00|258.000000|258.000000|258.000000|258.000000|V500
1164715|15:06:00|258.000000|258.000000|258.000000|258.000000|V4100
1164716|15:46:00|254.000000|258.000000|254.000000|258.000000|V1100
1164717|16:00:00|254.000000|254.000000|254.000000|254.000000|V4200
