#A1_LOSSLESS_AI_TRANSPORT_V2
ticker=DATA
trading_date=2024-12-05
actual_rows=102
source_row_first=432069
source_row_last=432170
compact_rows_sha256=33adbe6cc7fb9504d014a651259f81cf3eed8da6b702c66ac9942f57262deed2
core_fields=source_row,RAW_DATETIME_ISO,OBS_DELTA_PREV_SEC_SAME_DATE,OBS_GAP_GT_BASE_INTERVAL_FLAG,RAW_OPEN,RAW_HIGH,RAW_LOW,RAW_CLOSE,RAW_VOLUME,IDX_REGULAR_CLOCK_SESSION_CODE
defaults_json={"RAW_TICKER":"DATA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
#ROW_FORMAT core values separated by | ; final field contains non-core exceptions as name=value pairs separated by ; ; blank means defaults
432069|2024-12-05 09:00:00||0|750.000000|755.000000|745.000000|750.000000|10800|20|DATE_CHANGE_FROM_PREV_FLAG=1;DATE_FIRST_OBS_IN_RANGE_FLAG=1;BND_FIRST_S1_5M_FLAG=1
432070|2024-12-05 09:01:00|60|0|750.000000|750.000000|750.000000|750.000000|90200|20|BND_FIRST_S1_5M_FLAG=1
432071|2024-12-05 09:03:00|120|1|745.000000|745.000000|745.000000|745.000000|1800|20|BND_FIRST_S1_5M_FLAG=1
432072|2024-12-05 09:04:00|60|0|745.000000|745.000000|745.000000|745.000000|22400|20|BND_FIRST_S1_5M_FLAG=1
432073|2024-12-05 09:05:00|60|0|745.000000|745.000000|745.000000|745.000000|125900|20|
432074|2024-12-05 09:06:00|60|0|745.000000|745.000000|745.000000|745.000000|600|20|
432075|2024-12-05 09:08:00|120|1|745.000000|745.000000|745.000000|745.000000|35000|20|
432076|2024-12-05 09:12:00|240|1|740.000000|740.000000|740.000000|740.000000|22400|20|
432077|2024-12-05 09:13:00|60|0|740.000000|740.000000|740.000000|740.000000|300|20|
432078|2024-12-05 09:14:00|60|0|740.000000|740.000000|740.000000|740.000000|50000|20|
432079|2024-12-05 09:17:00|180|1|740.000000|740.000000|740.000000|740.000000|1000|20|
432080|2024-12-05 09:18:00|60|0|740.000000|740.000000|740.000000|740.000000|55200|20|
432081|2024-12-05 09:19:00|60|0|745.000000|745.000000|745.000000|745.000000|25000|20|
432082|2024-12-05 09:20:00|60|0|740.000000|740.000000|740.000000|740.000000|4000|20|
432083|2024-12-05 09:21:00|60|0|745.000000|745.000000|740.000000|740.000000|1600|20|
432084|2024-12-05 09:22:00|60|0|740.000000|740.000000|740.000000|740.000000|100|20|
