#A1_LOSSLESS_AI_TRANSPORT_V2
ticker=DART
trading_date=2024-12-05
actual_rows=22
source_row_first=430160
source_row_last=430181
compact_rows_sha256=3de9dff292daaab09f2561c818d5a6df27e676cc492f4a07874a365d3d819ff1
core_fields=source_row,RAW_DATETIME_ISO,OBS_DELTA_PREV_SEC_SAME_DATE,OBS_GAP_GT_BASE_INTERVAL_FLAG,RAW_OPEN,RAW_HIGH,RAW_LOW,RAW_CLOSE,RAW_VOLUME,IDX_REGULAR_CLOCK_SESSION_CODE
defaults_json={"RAW_TICKER":"DART","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
#ROW_FORMAT core values separated by | ; final field contains non-core exceptions as name=value pairs separated by ; ; blank means defaults
430160|2024-12-05 09:03:00||0|185.000000|185.000000|185.000000|185.000000|100|20|DATE_CHANGE_FROM_PREV_FLAG=1;DATE_FIRST_OBS_IN_RANGE_FLAG=1;BND_FIRST_S1_5M_FLAG=1
430161|2024-12-05 09:39:00|2160|1|183.000000|183.000000|183.000000|183.000000|300|20|
430162|2024-12-05 09:42:00|180|1|183.000000|183.000000|183.000000|183.000000|2000|20|
430163|2024-12-05 09:46:00|240|1|182.000000|183.000000|181.000000|183.000000|12100|20|
430164|2024-12-05 10:01:00|900|1|183.000000|183.000000|183.000000|183.000000|100|20|
430165|2024-12-05 10:04:00|180|1|182.000000|182.000000|182.000000|182.000000|100|20|
430166|2024-12-05 10:06:00|120|1|182.000000|182.000000|182.000000|182.000000|100|20|
430167|2024-12-05 10:07:00|60|0|182.000000|182.000000|182.000000|182.000000|500|20|
430168|2024-12-05 10:28:00|1260|1|181.000000|182.000000|181.000000|182.000000|200|20|
430169|2024-12-05 10:47:00|1140|1|181.000000|181.000000|181.000000|181.000000|18300|20|
430170|2024-12-05 11:06:00|1140|1|181.000000|181.000000|181.000000|181.000000|9900|20|
430171|2024-12-05 11:17:00|660|1|181.000000|181.000000|181.000000|181.000000|50000|20|
430172|2024-12-05 11:18:00|60|0|181.000000|181.000000|181.000000|181.000000|2000|20|
430173|2024-12-05 13:40:00|8520|1|181.000000|181.000000|181.000000|181.000000|1000|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430174|2024-12-05 13:45:00|300|1|181.000000|181.000000|181.000000|181.000000|700|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430175|2024-12-05 14:02:00|1020|1|181.000000|181.000000|181.000000|181.000000|7900|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430176|2024-12-05 14:13:00|660|1|181.000000|181.000000|181.000000|181.000000|1000|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430177|2024-12-05 14:32:00|1140|1|181.000000|181.000000|181.000000|181.000000|300|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430178|2024-12-05 14:54:00|1320|1|181.000000|181.000000|181.000000|181.000000|2200|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430179|2024-12-05 15:19:00|1500|1|182.000000|182.000000|182.000000|182.000000|500|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430180|2024-12-05 15:26:00|420|1|182.000000|182.000000|182.000000|182.000000|400|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1
430181|2024-12-05 15:45:00|1140|1|181.000000|181.000000|181.000000|181.000000|1000|40|CLK_REGULAR_SESSION1_FLAG=0;CLK_REGULAR_SESSION2_FLAG=1;BND_LAST_REGULAR_5M_FLAG=1
